Target,N,Physics_RMSE,Physics_MAE,Physics_R2_log10
N,3006,1.5845851415967,0.723953293974832,0.463994089965645
P,3006,92806.5757179834,2568.66557400228,-0.00315908535408926
K,3006,175.10125904467,95.9953683978495,0.477549988167093
CEC,1787,5.95731433002357,3.79427865919248,0.275450706044193
OC,3006,20.5214524122445,10.0223604790048,0.394766155512028
