Term,MeanCoefficient,StdCoefficient
Intercept,-0.0294122297245623,0.420038764173495
sensor_EC,-1.65412194748718,3.69872911765567
sensor_pH_CaCl2,1.62736670451862,3.63890257562346
sensor_pH_H2O,-1.5858330650625,3.54603053444659
context_Clay,0.953381987105903,2.13182693169263
context_Silt,-0.014387445912037,0.0321713070819163
context_Sand,0,0
context_Coarse,-0.260264689187517,0.581969537166142
context_CaCO3,0.0422353958130643,0.0944412160946218
EC_x_Clay,-0.0316477570568005,0.0707665361144045
EC_x_Silt,0.0291507195346766,0.065182990472568
EC_x_Sand,0.00190436526586938,0.00425829018847339
EC_x_CaCO3,-0.085297570082392,0.190731165019781
pH_CaCl2_x_Clay,0.0246138442834146,0.0550382290053097
pH_CaCl2_x_Silt,0.00564081740681352,0.0126132511702991
pH_CaCl2_x_Sand,0.00424477859557773,0.0094916134891479
pH_CaCl2_x_CaCO3,0.00457801953118332,0.0102367628740476
pH_H2O_x_Clay,-0.12543363061081,0.280478124710369
pH_H2O_x_Silt,-0.00327773794236078,0.007329244851549
pH_H2O_x_Sand,-0.00298011411306231,0.00666373773751382
pH_H2O_x_CaCO3,0,0
