Model,N,R2_log10,RMSE,MAE
"Raw EC rows, no CEC",10786,0.62472140730823,2.42327316210715,0.986899157013701
"Raw CEC rows, CEC target",17939,0.180505625366941,10.2955436596925,7.01044118139868
"Stable point EC, no CEC",3006,0.542752461191014,2.75405255878974,0.871810858512619
"Stable point EC, measured/linked CEC",1787,0.547179511245983,2.74825574455283,0.966280661785365
