POINTID,Coarse,Clay,Silt,Sand,pH_CaCl2,pH_H2O,OC,CaCO3,N,P,K,CEC,EC
45242636,17,11,55,33,3.9,4.175,93.7,1.00005,4.4,16.95,86.65,NaN,2.6195
43782660,13,7,38,55,3.8,4.475,72.65,1.00005,4.3,23.2,136.05,NaN,0.934
45542620,17,15,62,22,4.65,5.065,55.1,5e-05,6.15,18.7,130.55,NaN,3.358
46782690,16,13,55,32,5,5.32,30.7,5e-05,4.05,21.1,149.35,NaN,5.35
44222668,7,10,56,33,6.8,7.085,73.15,6.5,7,70.05,85.85,NaN,4.797
46842710,7,12,62,26,4.45,4.805,30.25,5e-05,3.6,14.8,63.2,NaN,4.1275
44662698,30,11,58,31,3.7,4.33,72.1,1,4.65,21.05,79.25,NaN,1.4225
36603158,9.00005,19.00005,61.00005,20.00005,6.1,6.475,17.1,4,1.75,99.55,203.05,NaN,1.4815
45643866,8.00005,13.00005,38.00005,49.00005,3.95,4.505,31.05,5e-05,2.4,12.60005,116.25,NaN,1.215
57262538,NaN,27.00005,68.00005,5.00005,7.6,8.04,20.1,38.5,2.05,11,171.8,NaN,1.4815
56722646,52.00005,12.00005,77.00005,11.00005,7.4,7.77,17.85,21,2.05,7.45,503.15,NaN,2.039
54422752,67.00005,52.00005,41.00005,7.00005,5.05,5.73,37.5,5e-05,3.5,9.40005,149.8,NaN,1.2545
52562656,14.00005,57.00005,33.00005,10.00005,6.7,7.03,11.3,3.00005,1.45,24.6,71.65,NaN,1.9735
55822736,83.00005,56.00005,26.00005,18.00005,5.9,6.345,16.6,1,1.9,5.45,211.15,NaN,1.5015
53762404,NaN,26.00005,57.00005,17.00005,7.7,8.39,36.15,212,3.05,5.60005,123.8,NaN,3.671
55582810,16.00005,23.00005,59.00005,18.00005,7.35,8.11,8.9,44,1,4.80005,194.75,NaN,1.354
54502410,NaN,5.00005,3.00005,92.00005,5.3,5.985,3.45,5e-05,0.5,18,38.75,NaN,0.443
55662452,12.00005,57.00005,41.00005,2.00005,5.15,5.635,24.55,5e-05,2.2,18.3,392.5,NaN,1.8865
53862704,26.00005,72.00005,23.00005,5.00005,5.45,6.08,29.05,1.00005,2.55,6.00005,223,NaN,0.8135
54922546,9.00005,6.00005,42.00005,52.00005,7.35,7.92,10.05,23,1.25,8.50005,78.35,NaN,1.775
53442784,60.00005,4.00005,85.00005,11.00005,7.3,7.87,18.1,22.5,2.05,9.50005,214.85,NaN,1.854
51902554,33.00005,61.00005,15.00005,24.00005,5.3,5.885,15.8,5e-05,1.75,38.55,223.5,NaN,1.0275
56142736,57.00005,71.00005,24.00005,5.00005,7.4,7.675,20.85,11,2.75,35.2,354.9,NaN,2.126
56762816,8.00005,10.00005,80.00005,10.00005,6.55,6.815,12.05,1.00005,1.3,9.7,154.15,NaN,0.9235
52242588,NaN,42.00005,39.00005,19.00005,4.9,5.42,15.9,5e-05,1.85,17.85,113.45,NaN,1.455
55182472,39.00005,60.00005,33.00005,7.00005,5.4,5.99,17.35,5e-05,1.5,13.85,204.75,NaN,1.274
52722834,75.00005,38.00005,15.00005,47.00005,5.45,6.085,7.3,5e-05,1,12.65,122.95,NaN,0.7965
53302460,1.00005,22.00005,21.00005,57.00005,5.3,5.875,10.65,5e-05,1.05,16.5,176,NaN,0.4565
55922848,40.00005,62.00005,34.00005,4.00005,7,7.465,37.7,1,3.8,5.90005,564.6,NaN,1.318
56682820,16.00005,17.00005,60.00005,23.00005,7.4,7.745,12.3,20,1.45,14.3,167.55,NaN,1.3665
54422428,NaN,4.00005,4.00005,92.00005,4.25,4.75,3.6,5e-05,0.5,28.25,52.05,NaN,0.6625
56362744,58.00005,57.00005,17.00005,26.00005,7.6,7.995,9.45,36,1.35,34.05,324.45,NaN,2.375
53902836,15.00005,50.00005,38.00005,12.00005,5,5.775,25.9,5e-05,3.45,5.20005,178,NaN,0.9165
56082552,NaN,NaN,NaN,NaN,7.5,7.96,17.35,92.5,2.35,8.35,543.05,NaN,2.29
53762628,58.00005,16.00005,66.00005,18.00005,7.3,7.43,31.35,25.5,3.45,54.15,631.95,NaN,4.275
56142844,52.00005,25.00005,72.00005,3.00005,7.6,8.25,23.15,53,2.25,5e-05,317.4,NaN,2.2595
57482582,1.00005,22.00005,73.00005,5.00005,7.6,8,16.25,94,1.9,10.25,239.4,NaN,2.665
52882756,45.00005,53.00005,30.00005,17.00005,4.7,5.37,14.65,5e-05,1.6,5.80005,155.7,NaN,0.638
52342720,21.00005,45.00005,49.00005,6.00005,4.75,5.495,16.35,5e-05,1.75,9.75,208.25,NaN,0.861
55082480,22.00005,63.00005,30.00005,7.00005,5.95,6.68,14.55,1.00005,1.35,16.4,246.5,NaN,0.7365
55782808,NaN,57.00005,28.00005,15.00005,4.75,5.38,13.15,5e-05,1.45,33.85,151.9,NaN,0.6685
55142474,14.00005,82.00005,12.00005,6.00005,5.15,5.745,18.25,5e-05,1.5,12.15,263,NaN,0.7125
53362722,NaN,43.00005,21.00005,36.00005,6.25,6.6,21.05,1.00005,2.3,10.20005,437.85,NaN,2.0905
52722766,35.00005,45.00005,22.00005,33.00005,5.6,5.965,27.1,5e-05,2.55,8.4,266.1,NaN,1.894
53842676,57.00005,20.00005,65.00005,15.00005,7.4,7.745,18.65,131.5,2.4,6.20005,489.95,NaN,2.5075
53262604,81.00005,71.00005,14.00005,15.00005,5.95,6.325,40.8,1.00005,3.2,5e-05,287.2,NaN,1.429
55642492,1.00005,77.00005,18.00005,5.00005,5.2,5.63,16.6,5e-05,1.85,31.45,224.1,NaN,1.2465
56602728,27.00005,58.00005,17.00005,25.00005,5.2,5.76,20.5,5e-05,1.9,23.8,217.05,NaN,0.9965
54182768,78.00005,66.00005,25.00005,9.00005,5.8,6.155,41.3,5e-05,3.8,4.60005,320.75,NaN,1.5235
56862730,5.00005,36.00005,14.00005,50.00005,5.45,6.085,8.75,5e-05,0.9,7.00005,138.9,NaN,0.4095
56582658,NaN,18.00005,78.00005,4.00005,7.3,7.915,12.9,69,1.65,6.40005,387.75,NaN,1.7415
55442506,7.00005,63.00005,23.00005,14.00005,5.65,6.1,15.05,1.00005,1.55,15.5,170.6,NaN,0.918
52922812,35.00005,59.00005,29.00005,12.00005,5.2,5.825,11.75,5e-05,1.2,6.00005,90.4,NaN,0.4935
52442774,47.00005,53.00005,38.00005,9.00005,7.35,7.595,19.2,5,2,43.35,124.8,NaN,2.1555
54002768,1.00005,52.00005,32.00005,16.00005,5.15,5.855,14.15,5e-05,1.65,4.70005,169.45,NaN,0.8885
56522678,15.00005,8.00005,89.00005,3.00005,7.35,7.57,30.3,22,3.55,7.65,579.35,NaN,2.485
53802834,NaN,17.00005,23.00005,60.00005,4.5,5.21,25.8,5e-05,2.9,13.50005,95.4,NaN,1.671
56282802,20.00005,41.00005,28.00005,31.00005,6.55,6.885,18.45,5e-05,2.2,4.50005,176.2,NaN,0.9305
53942622,36.00005,26.00005,40.00005,34.00005,4.05,4.445,28.8,5e-05,2.9,24.1,104.1,NaN,3.51
54902668,76.00005,19.00005,55.00005,26.00005,7.2,7.695,22.95,104,2.25,5.70005,416.1,NaN,2.1815
54022430,23.00005,45.00005,25.00005,30.00005,5.6,6.215,17.05,5e-05,1.65,5.80005,210.05,NaN,0.8855
53102804,40.00005,69.00005,14.00005,17.00005,5.3,5.86,23.95,5e-05,2.35,4.90005,201.7,NaN,0.601
56402702,2.00005,34.00005,54.00005,12.00005,5.85,6.315,13.45,5e-05,1.6,56.7,330.8,NaN,1.625
53002776,54.00005,52.00005,44.00005,4.00005,5.9,6.375,24.5,3.00005,2.5,6.10005,266.05,NaN,1.0865
55562448,19.00005,58.00005,39.00005,3.00005,5.25,5.645,20.95,5e-05,1.85,25.15,265.75,NaN,1.62
56802796,23.00005,35.00005,27.00005,38.00005,6.1,6.615,13.1,5e-05,1.3,9.35,181.9,NaN,0.883
55082494,27.00005,74.00005,20.00005,6.00005,5.25,5.945,14.1,5e-05,1.3,15.5,239.35,NaN,0.778
56082504,81.00005,51.00005,33.00005,16.00005,5.55,6.07,15.3,5e-05,1.65,27.6,206.55,NaN,1.2035
55662566,13.00005,23.00005,19.00005,58.00005,6.6,6.88,17.9,8.00005,2.05,14.05,83.95,NaN,1.8255
55602550,12.00005,36.00005,17.00005,47.00005,5.05,5.785,16.5,5e-05,1.75,5e-05,122.45,NaN,0.8815
55242862,27.00005,38.00005,22.00005,40.00005,4.95,5.5,23,5e-05,2.5,35.6,142.7,NaN,2.054
53802730,76.00005,16.00005,68.00005,16.00005,7.15,7.68,24.9,40,2.7,5e-05,294,NaN,1.738
55462528,79.00005,8.00005,83.00005,9.00005,6.8,7.275,24.5,3.00005,2.6,27.1,383.65,NaN,1.595
55402630,21.00005,31.00005,27.00005,42.00005,5.6,5.83,18.3,2.00005,2.3,17.3,95.55,NaN,3.595
54862522,2.00005,63.00005,30.00005,7.00005,4.75,5.345,19.4,5e-05,1.8,14.15,161.8,NaN,0.8665
56842706,1.00005,25.00005,29.00005,46.00005,5.45,6.08,9.5,5e-05,0.95,12.15,81.85,NaN,0.434
55342520,NaN,4.00005,60.00005,36.00005,7.1,7.635,11.55,5.5,1.35,6.40005,87.4,NaN,1.342
56202632,61.00005,54.00005,39.00005,7.00005,7.25,7.505,32.7,5.5,3.25,5.30005,258.45,NaN,1.6045
55102694,1.00005,9.00005,49.00005,42.00005,7.35,7.56,30.1,87,2.75,9.75,148.8,NaN,5.16
52742776,25.00005,51.00005,13.00005,36.00005,6.05,6.52,17.85,1.00005,1.5,19.25,292.5,NaN,0.702
56662792,35.00005,18.00005,75.00005,7.00005,7.6,7.895,17.3,49,1.95,7.55,365.1,NaN,2.62
53502854,4.00005,49.00005,31.00005,20.00005,5.15,5.78,33.7,5e-05,3.65,4.80005,124.05,NaN,0.9895
53542764,74.00005,60.00005,35.00005,5.00005,6.05,6.59,27.65,5e-05,2.75,5e-05,311.75,NaN,0.8165
52502542,2.00005,27.00005,8.00005,65.00005,6,6.24,20.3,5e-05,2.1,6.00005,88.65,NaN,1.076
57202648,52.00005,10.00005,89.00005,1.00005,7.4,7.63,29.15,40,3,42.3,225.25,NaN,4.73
55822888,59.00005,58.00005,38.00005,4.00005,7.25,7.67,30.7,14.5,3.15,9.40005,533.8,NaN,2.472
