Predictor,MeanOOBImportance,StdOOBImportance
Clay,3.107956277013,0.0820885155795697
Silt,0.975915857915857,0.0394510040306913
Sand,0.90672398928005,0.0354335703021387
K,0.680235246497726,0.0173120481535054
pH_H2O,0.637709512676215,0.117672798899594
OC,0.603654290844659,0.0329676199314204
N,0.563137015646833,0.0476963135950642
pH_CaCl2,0.531949939850988,0.0904049990006487
P,0.350668003182523,0.0541408844994269
Coarse,0.251725096918705,0.0462336810337747
