Term,Estimate,SE,tStat,pValue
Intercept,0.81410191846924,0.022790992819421,35.7203358765273,1.96835315847541e-265
x1,0.906779893804107,0.0187050233905445,48.4778807741288,0
x2,-0.749013106756177,0.0185660310582791,-40.3432001381993,0
x3,-0.145569343269351,0.0114036218679906,-12.7651850398475,4.51231584719216e-37
x4,0.0245759218065661,0.00302782167534207,8.11670053316122,5.26479231377567e-16
x5,0.304741924810321,0.0119493418570982,25.5028208628324,1.07822670181155e-139
x6,0.077204262090433,0.00438205457281298,17.6182794640262,1.34537187698901e-68
x7,-0.0141710511974165,0.00294408915103625,-4.81339065171604,1.50232141065845e-06
x8,-0.0383043665084828,0.0666242462831068,-0.574931329740164,0.565348709923495
x9,0.0174706316457712,0.130702752724523,0.13366689898715,0.893668262187724
x10,0.0257943815582622,0.0934063059371851,0.276152464220228,0.782435805925563
x11,0.239001370290433,0.0375297681111872,6.36831460248724,1.98219683109969e-10
x12,0.251369795897419,0.0332131737523263,7.5683762645481,4.0602872012352e-14
x13,0.057929984550983,0.0138075142159557,4.19554046042844,2.7421467756974e-05
x14,0.000836765252099434,0.00226303650168679,0.369753316606134,0.711572942259947
x15,0.0489117310818559,0.0131674371087869,3.71459766071076,0.000204466707902202
x16,0.0245257240632358,0.00356826483344582,6.87329141978277,6.58994707113964e-12
x17,-0.00401751324253351,0.00229277339919615,-1.75225045961457,0.0797567423081836
x18,0.0669818110256799,0.0176391919953589,3.79732875764965,0.000146997296493343
x19,0.0889355985181137,0.0539172076858718,1.64948450291164,0.0990750531543915
x20,0.00955779555488021,0.0213697171015746,0.447258871488568,0.654696374714397
x21,-0.34035486955602,0.0659545032461352,-5.16044929162536,2.50362704831738e-07
x22,-0.115917859438204,0.0537152340593004,-2.15800715510675,0.030947401080891
x23,-0.0433062070095353,0.0189065607391821,-2.29053859170627,0.0220076805020487
x24,0.271736809846778,0.0529133246579606,5.13550814664026,2.85871453040227e-07
x25,0.195528941798106,0.0257004583671695,7.60799434020524,2.99533790913243e-14
x26,0.0144898413354143,0.0182760985118037,0.79283011776589,0.427892758712009
x27,-0.316112688215189,0.055809687037142,-5.66411863239462,1.51239483443379e-08
x28,-0.177236444296171,0.0904118857171817,-1.9603223944536,0.0499816330192673
x29,-0.00322024079755524,0.061035476237272,-0.0527601486230194,0.957923907829234
x30,0.246679908475362,0.054430060184475,4.53205283329306,5.89878770651603e-06
x31,0.0451418653620044,0.0188621711429216,2.3932486361171,0.0167154619221185
x32,-0.364678920218184,0.0541484052082079,-6.73480444744299,1.7177655606601e-11
x33,-0.235452163680933,0.0258257867862586,-9.11694058460255,8.9717000130598e-20
x34,-0.0113214221225918,0.0183676391650124,-0.616378731141312,0.537656486816758
x35,0.247095488790471,0.0563185780098148,4.3874596540312,1.15678441863052e-05
x36,0.0989586827166322,0.0903711552862818,1.09502509294195,0.273528010383734
x37,-0.0343619778325254,0.0607671663948459,-0.565469477534168,0.571765238741329
x38,-0.0304327890741196,0.00929142915683652,-3.27536147135423,0.00105831384430908
x39,-0.107876859626242,0.0259820308916186,-4.15197949984122,3.31930830166415e-05
x40,0.00655718742447649,0.0128718135601063,0.509422187779293,0.610465860761601
x41,-0.00830841416749546,0.00918564726403809,-0.904499588180682,0.365749032526676
x42,-0.099736520924429,0.02742927023626,-3.63613468624414,0.000277938670534739
x43,-0.0971515112372501,0.0503830831150469,-1.9282565740451,0.0538472025963251
x44,-0.043650222371563,0.0345808212945127,-1.26226679233004,0.20687776727506
x45,0.0445412533676885,0.0090860935678131,4.90213456809129,9.60633814567334e-07
x46,0.011570973634806,0.00420115249359745,2.75423795076236,0.00589191421472582
x47,0.00311206278499647,0.00292506871014731,1.06392809652657,0.28738306144628
x48,0.0069848190524224,0.00890827175510688,0.78408239492898,0.433007515536863
x49,0.0346966631493882,0.0143201383977079,2.422927920511,0.0154109420297045
x50,0.00951735375330701,0.00943638550914756,1.00858042987762,0.313196593305144
x51,-0.0434540684264805,0.0121422599940015,-3.57874633288595,0.000346631974894391
x52,0.00838846160779429,0.00893919459034202,0.938391207733329,0.348062623899562
x53,0.127152754884929,0.0258858043027548,4.91206506074829,9.13317962720501e-07
x54,0.150408401473913,0.046587933216487,3.22848409640729,0.00124788672536053
x55,0.0817894348066069,0.0318363003123352,2.56906217130126,0.010209601422789
x56,-0.0080431007472921,0.00418223414602645,-1.92315888265937,0.0544841535018202
x57,-0.046068738432271,0.0124917182710734,-3.68794247777351,0.000227090382729636
x58,-0.0360699796685349,0.0219299037814758,-1.64478513120533,0.100040786324046
x59,-0.00201764357383206,0.014915608894324,-0.135270614034393,0.892400227136252
x60,-0.00158634830330345,0.00883578349678115,-0.179536800995787,0.857519308741415
x61,-0.0160409958779833,0.0133414709167193,-1.20234087966125,0.229255629409465
x62,-0.0161867111145927,0.0087268508046096,-1.85481698690698,0.0636473109522654
x63,0.133344108007085,0.0750812213778569,1.77599811990287,0.0757590103642178
x64,0.0526621327752714,0.0491766334614167,1.07087714364566,0.284246593517146
x65,0.0871021344872516,0.0643348949377665,1.35388632516628,0.175798595761103
