Model,RMSE,MAE,RSS_log10,R2_log10
Polynomial degree 2,8.94018260598434,0.789770973218197,95245.6413502899,-81.7992232970338
Random Forest,1.87580823218902,0.724630740063968,466.199806219788,0.594721802394493
LSBoost,2.14866097745344,0.871007106098593,636.425670654655,0.446740549284581
