Predictor,Mean,StdDev
pH_CaCl2,5.75029096736105,1.35284106184363
pH_H2O,6.28206122965336,1.28175063286394
OC,3.23515060231796,0.858520056041163
P,3.36172250036915,0.629765598624263
N,1.20973259302886,0.50047159310157
K,5.06180682186485,0.809495084547534
Coarse,2.49036801340431,0.758730265027146
Clay,2.77738938989812,0.732946521771966
Sand,41.4067639369149,25.1747622694817
Silt,39.2314244749937,17.9697249031209
