Predictor,OOBImportance
N,3.0571164008714
K,2.4170469779844
pH_H2O,2.23603562502461
pH_CaCl2,2.09716576747819
OC,1.91145636995187
P,1.68709407321899
Silt,1.31248756982195
Clay,1.23314995683378
Sand,0.872027494367136
Coarse,0.659691718750926
