Model,N,RMSE,MAE,RSS_log10,R2_log10
Physics-informed forward,1787,0.256752349007337,0.0936428810437636,71.1059702670974,0.579172151903063
Random Forest benchmark,1787,0.292066102234268,0.0996366170842273,81.6340085910176,0.516863857734584
