Predictor,OOBImportance
N,2.81963597334387
P,2.6603449022526
pH_CaCl2,2.29297996271724
pH_H2O,2.19998409370283
Silt,1.82244969630667
K,1.81962617673213
OC,1.51924683551095
CaCO3,1.37171079327907
Clay,1.35210997574577
Coarse,1.17716988006675
Sand,1.0093884212415
