A,B,M,N,K,geomTerm,distAB,distMN,centroidSep
1,4,13,16,120.128792587617,0.0523037414414772,6.86769444316098,4.98342942380765,8.07608849461401
1,16,4,19,-18.3741473266776,-0.341957925745863,8.64722994788616,5.97318239794298,4.07133664666214
1,16,13,20,-125.833182114863,-0.0499326584735349,8.64722994788616,2.56758470120495,8.23506292662055
3,9,11,12,-516.844883348821,-0.0121568105046694,7.64523658188341,3.62231755666141,8.74765108964598
3,19,15,24,276.614062738473,0.022714627177578,7.4205675007553,2.80160814061968,8.81798716912799
4,16,13,20,-131.103048215003,-0.0479255470618461,5.97255905462471,2.56758470120495,8.9787811132647
4,19,13,16,-128.644438422108,-0.0488414842044177,5.97318239794298,4.98342942380765,8.98581589297145
5,12,11,17,35.0033994165017,0.179502145846369,4.55114479884706,5.67138121855703,4.0013422436817
5,17,11,12,22.11793274331,0.28407651746206,4.4532154130179,3.62231755666141,5.09640321267754
9,12,14,25,-234.319117352064,-0.0268146507983773,8.21548821216968,2.72600106006046,6.88708721456164
9,14,5,12,-304.99309961883,-0.0206010736473451,6.58533984980824,4.55114479884706,8.79935995047581
9,14,11,12,-204.212102472231,-0.0307679379973769,6.58533984980824,3.62231755666141,7.92061780535458
11,12,5,17,22.11793274331,0.28407651746206,3.62231755666141,4.4532154130179,5.09640321267754
11,14,5,12,20.1756006256687,0.311424944602924,7.90633553012078,4.55114479884706,4.81085021860442
11,14,5,17,16.9724677799998,0.370198688170947,7.90633553012078,4.4532154130179,7.01161881407832
11,17,5,12,35.0033994165017,0.179502145846369,5.67138121855703,4.55114479884706,4.0013422436817
12,14,5,17,72.9566528045172,0.0861221707088864,8.17226132616218,4.4532154130179,8.04227997229617
12,14,11,17,52.4527503349318,0.119787528147884,8.17226132616218,5.67138121855703,7.21966665113832
13,16,4,19,-128.644438422108,-0.0488414842044177,4.98342942380765,5.97318239794298,8.98581589297145
13,20,4,16,-131.103048215003,-0.0479255470618461,2.56758470120495,5.97255905462471,8.9787811132647
