A,B,M,N,K,geomTerm,distAB,distMN,centroidSep
2,19,21,34,35.8023609377774,0.175496395841029,4.2157732139007,2.64536264796384,4.76018544210967
2,19,28,34,22.3843589958131,0.28069534215185,4.2157732139007,4.93878887147274,4.32441806803618
2,21,19,29,-93.943053263038,-0.066882915648769,7.98768940313041,2.84296524772797,2.79327372526379
2,21,28,34,34.3190765751782,0.18308142101131,7.98768940313041,4.93878887147274,2.66279087580393
2,28,19,21,53.3685264835258,0.11773203648632,6.52081420280249,4.29931496745221,5.00851991839277
2,28,19,29,-239.049472158591,-0.0262840375694751,6.52081420280249,2.84296524772797,5.25507175318601
2,28,21,34,-304.68027566128,-0.0206222253591655,6.52081420280249,2.64536264796384,5.14085433598742
2,28,29,34,50.9197611837778,0.12339384869663,6.52081420280249,4.95766223119709,4.68650812437103
2,29,19,21,-68.1018693222341,-0.0922615688777905,4.56695618508832,4.29931496745221,4.90658698197097
2,29,21,34,-828.24151843644,-0.00758617524878616,4.56695618508832,2.64536264796384,5.81162686534757
2,29,28,34,110.204460324814,0.0570138929827403,4.56695618508832,4.93878887147274,5.73486813938214
5,14,16,20,-139.791343354511,-0.0449468840945709,6.77899426019157,5.56336517232643,7.93360914971265
5,20,14,35,123.753520461221,0.0507717702394452,6.78043170659932,2.75741650658091,6.12008844460354
5,27,1,11,-148.392355078417,-0.042341704893485,7.54227038041148,5.62210525806028,8.59607012741209
5,27,14,35,-383.27950538583,-0.0163932201406245,7.54227038041148,2.75741650658091,7.40522227193463
8,30,12,25,1367.61876933777,0.00459425202991476,6.61814631927766,5.40815275506032,8.73297751340416
10,23,7,13,27.7171165407916,0.226689717089891,6.99762003377483,5.901991334505,8.35635082065565
16,20,14,35,-957.899701925461,-0.00655933527753463,5.56336517232643,2.75741650658091,6.9399583202969
19,21,2,29,-68.1018693222341,-0.0922615688777905,4.29931496745221,4.56695618508832,4.90658698197097
19,21,2,34,312.314806789172,0.0201181153457801,4.29931496745221,5.34717297116969,3.39212693187212
19,21,28,34,-64.3677175731252,-0.0976139211405398,4.29931496745221,4.93878887147274,3.47926307998841
19,28,2,29,-40.0555892630448,-0.156861637109317,6.42844227134772,4.56695618508832,4.67188766436865
19,28,21,34,-32.0376783638807,-0.196118621200195,6.42844227134772,2.64536264796384,3.06296215211598
19,28,29,34,-235.114887339225,-0.0267238939153784,6.42844227134772,4.95766223119709,3.61286881784393
19,29,2,34,-25.1362113592529,-0.249965486738585,2.84296524772797,5.34717297116969,2.78667078842876
19,29,21,34,-34.3188609914005,-0.183082571089815,2.84296524772797,2.64536264796384,4.42978363521411
19,29,28,34,-28.0898810809712,-0.223681449169109,2.84296524772797,4.93878887147274,5.45595271734526
21,28,2,19,-59.7266943018166,-0.10519894631082,6.20043694594202,4.2157732139007,5.24201814624186
21,28,2,29,-97.2628277211823,-0.0646000682315265,6.20043694594202,4.56695618508832,6.59762798208885
21,28,2,34,-30.8447365529843,-0.203703646370475,6.20043694594202,5.34717297116969,4.20345399107589
21,28,19,29,154.76253543036,0.0405988780792939,6.20043694594202,2.84296524772797,5.92398085568207
21,28,29,34,-45.1691134853727,-0.139103578138949,6.20043694594202,4.95766223119709,4.88515181816077
21,29,2,19,247.577570428147,0.0253786532290214,6.78094418504896,4.2157732139007,3.44502843075184
21,29,2,34,-23.2638533353718,-0.270083602084365,6.78094418504896,5.34717297116969,3.22735055079711
21,29,28,34,-49.83983905638,-0.12606752802857,6.78094418504896,4.93878887147274,4.49335120675358
