A,B,M,N,K,geomTerm,distAB,distMN,centroidSep
1,2,3,5,-104.063232374304,-0.0603785329729106,7,7,7
1,2,3,7,104.063232374304,0.0603785329729106,7,7,7
1,2,3,11,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,2,3,13,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,2,4,6,-104.063232374304,-0.0603785329729106,7,7,7
1,2,4,8,104.063232374304,0.0603785329729106,7,7,7
1,2,4,12,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,2,4,14,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,2,5,9,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,2,5,11,127.374357735211,0.0493284945172498,7,7,10.5
1,2,6,9,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,2,6,12,127.374357735211,0.0493284945172498,7,7,10.5
1,2,7,10,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,2,7,13,-127.374357735211,-0.0493284945172498,7,7,10.5
1,2,8,10,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,2,8,14,-127.374357735211,-0.0493284945172498,7,7,10.5
1,3,2,4,-104.063232374304,-0.0603785329729106,7,7,7
1,3,2,7,104.063232374304,0.0603785329729106,7,7,7
1,3,2,8,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,3,2,10,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,3,4,6,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,3,4,8,127.374357735211,0.0493284945172498,7,7,10.5
1,3,5,9,-104.063232374304,-0.0603785329729106,7,7,7
1,3,5,11,104.063232374304,0.0603785329729106,7,7,7
1,3,5,15,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,3,5,18,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,3,6,9,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,3,7,10,-127.374357735211,-0.0493284945172498,7,7,10.5
1,3,7,13,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,3,9,15,127.374357735211,0.0493284945172498,7,7,10.5
1,3,11,13,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,3,11,18,-127.374357735211,-0.0493284945172498,7,7,10.5
1,4,2,3,-104.063232374304,-0.0603785329729106,7,7,7
1,4,2,7,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,4,2,8,104.063232374304,0.0603785329729106,7,7,7
1,4,2,10,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,4,3,5,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,4,3,7,127.374357735211,0.0493284945172498,7,7,10.5
1,4,5,9,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,4,6,9,-104.063232374304,-0.0603785329729106,7,7,7
1,4,6,12,104.063232374304,0.0603785329729106,7,7,7
1,4,6,16,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,4,6,19,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,4,8,10,-127.374357735211,-0.0493284945172498,7,7,10.5
1,4,8,14,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,4,9,16,127.374357735211,0.0493284945172498,7,7,10.5
1,4,12,14,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,4,12,19,-127.374357735211,-0.0493284945172498,7,7,10.5
1,5,2,3,104.063232374304,0.0603785329729106,7,7,7
1,5,2,4,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,5,2,7,127.374357735211,0.0493284945172498,7,7,10.5
1,5,3,7,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,5,3,11,104.063232374304,0.0603785329729106,7,7,7
1,5,3,13,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,5,4,6,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,5,6,9,104.063232374304,0.0603785329729106,7,7,7
1,5,6,16,127.374357735211,0.0493284945172498,7,7,10.5
1,5,9,15,104.063232374304,0.0603785329729106,7,7,7
1,5,9,16,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,5,9,23,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,5,11,13,-127.374357735211,-0.0493284945172498,7,7,10.5
1,5,11,18,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,5,15,18,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,5,15,23,-127.374357735211,-0.0493284945172498,7,7,10.5
1,6,2,3,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,6,2,4,104.063232374304,0.0603785329729106,7,7,7
1,6,2,8,127.374357735211,0.0493284945172498,7,7,10.5
1,6,3,5,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,6,4,8,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,6,4,12,104.063232374304,0.0603785329729106,7,7,7
1,6,4,14,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,6,5,9,104.063232374304,0.0603785329729106,7,7,7
1,6,5,15,127.374357735211,0.0493284945172498,7,7,10.5
1,6,9,15,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,6,9,16,104.063232374304,0.0603785329729106,7,7,7
1,6,9,23,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,6,12,14,-127.374357735211,-0.0493284945172498,7,7,10.5
1,6,12,19,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,6,16,19,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,6,16,23,-127.374357735211,-0.0493284945172498,7,7,10.5
1,9,2,3,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,9,2,4,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,9,3,5,104.063232374304,0.0603785329729106,7,7,7
1,9,3,11,127.374357735211,0.0493284945172498,7,7,10.5
1,9,4,6,104.063232374304,0.0603785329729106,7,7,7
1,9,4,12,127.374357735211,0.0493284945172498,7,7,10.5
1,9,5,11,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,9,5,15,104.063232374304,0.0603785329729106,7,7,7
1,9,5,18,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,9,6,12,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
1,9,6,16,104.063232374304,0.0603785329729106,7,7,7
1,9,6,19,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,9,15,18,-127.374357735211,-0.0493284945172498,7,7,10.5
1,9,15,23,568.612076092891,0.0110500384556608,7,7,9.26012958872607
1,9,16,19,-127.374357735211,-0.0493284945172498,7,7,10.5
1,9,16,23,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,3,1,4,-104.063232374304,-0.0603785329729106,7,7,7
2,3,1,5,104.063232374304,0.0603785329729106,7,7,7
2,3,1,6,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,3,1,9,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,3,4,6,127.374357735211,0.0493284945172498,7,7,10.5
2,3,4,8,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,3,5,9,-127.374357735211,-0.0493284945172498,7,7,10.5
2,3,5,11,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,3,7,10,-104.063232374304,-0.0603785329729106,7,7,7
2,3,7,13,104.063232374304,0.0603785329729106,7,7,7
2,3,7,17,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,3,7,21,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,3,8,10,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,3,10,17,127.374357735211,0.0493284945172498,7,7,10.5
2,3,11,13,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,3,13,21,-127.374357735211,-0.0493284945172498,7,7,10.5
2,4,1,3,-104.063232374304,-0.0603785329729106,7,7,7
2,4,1,5,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,4,1,6,104.063232374304,0.0603785329729106,7,7,7
2,4,1,9,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,4,3,5,127.374357735211,0.0493284945172498,7,7,10.5
2,4,3,7,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,4,6,9,-127.374357735211,-0.0493284945172498,7,7,10.5
2,4,6,12,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,4,7,10,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,4,8,10,-104.063232374304,-0.0603785329729106,7,7,7
2,4,8,14,104.063232374304,0.0603785329729106,7,7,7
2,4,8,20,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,4,8,22,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,4,10,20,127.374357735211,0.0493284945172498,7,7,10.5
2,4,12,14,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,4,14,22,-127.374357735211,-0.0493284945172498,7,7,10.5
2,7,1,3,104.063232374304,0.0603785329729106,7,7,7
2,7,1,4,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,7,1,5,127.374357735211,0.0493284945172498,7,7,10.5
2,7,3,5,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,7,3,11,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,7,3,13,104.063232374304,0.0603785329729106,7,7,7
2,7,4,8,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,7,8,10,104.063232374304,0.0603785329729106,7,7,7
2,7,8,20,127.374357735211,0.0493284945172498,7,7,10.5
2,7,10,17,104.063232374304,0.0603785329729106,7,7,7
2,7,10,20,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,7,10,24,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,7,11,13,127.374357735211,0.0493284945172498,7,7,10.5
2,7,13,21,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,7,17,21,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,7,17,24,-127.374357735211,-0.0493284945172498,7,7,10.5
2,8,1,3,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,8,1,4,104.063232374304,0.0603785329729106,7,7,7
2,8,1,6,127.374357735211,0.0493284945172498,7,7,10.5
2,8,3,7,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,8,4,6,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,8,4,12,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,8,4,14,104.063232374304,0.0603785329729106,7,7,7
2,8,7,10,104.063232374304,0.0603785329729106,7,7,7
2,8,7,17,127.374357735211,0.0493284945172498,7,7,10.5
2,8,10,17,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,8,10,20,104.063232374304,0.0603785329729106,7,7,7
2,8,10,24,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,8,12,14,127.374357735211,0.0493284945172498,7,7,10.5
2,8,14,22,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,8,20,22,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,8,20,24,-127.374357735211,-0.0493284945172498,7,7,10.5
2,10,1,3,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,10,1,4,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,10,3,7,104.063232374304,0.0603785329729106,7,7,7
2,10,3,13,127.374357735211,0.0493284945172498,7,7,10.5
2,10,4,8,104.063232374304,0.0603785329729106,7,7,7
2,10,4,14,127.374357735211,0.0493284945172498,7,7,10.5
2,10,7,13,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,10,7,17,104.063232374304,0.0603785329729106,7,7,7
2,10,7,21,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,10,8,14,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
2,10,8,20,104.063232374304,0.0603785329729106,7,7,7
2,10,8,22,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,10,17,21,-127.374357735211,-0.0493284945172498,7,7,10.5
2,10,17,24,568.612076092891,0.0110500384556608,7,7,9.26012958872607
2,10,20,22,-127.374357735211,-0.0493284945172498,7,7,10.5
2,10,20,24,568.612076092891,0.0110500384556608,7,7,9.26012958872607
3,5,1,2,-104.063232374304,-0.0603785329729106,7,7,7
3,5,1,4,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
3,5,1,6,568.612076092891,0.0110500384556608,7,7,9.26012958872607
3,5,1,9,104.063232374304,0.0603785329729106,7,7,7
3,5,2,4,127.374357735211,0.0493284945172498,7,7,10.5
3,5,2,7,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
3,5,6,9,127.374357735211,0.0493284945172498,7,7,10.5
3,5,7,13,568.612076092891,0.0110500384556608,7,7,9.26012958872607
3,5,9,15,568.612076092891,0.0110500384556608,7,7,9.26012958872607
3,5,11,13,-104.063232374304,-0.0603785329729106,7,7,7
3,5,11,18,104.063232374304,0.0603785329729106,7,7,7
3,5,11,25,-568.612076092892,-0.0110500384556608,7,7,9.26012958872607
3,5,11,27,568.612076092892,0.0110500384556608,7,7,9.26012958872607
3,5,13,25,127.374357735211,0.0493284945172498,7,7,10.5
3,5,15,18,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
3,5,18,27,-127.374357735211,-0.0493284945172498,7,7,10.5
3,7,1,2,104.063232374304,0.0603785329729106,7,7,7
3,7,1,4,127.374357735211,0.0493284945172498,7,7,10.5
3,7,1,5,-568.612076092891,-0.0110500384556608,7,7,9.26012958872607
