A,B,M,N,K,geomTerm,distAB,distMN,centroidSep
1,2,3,5,-44.5985281604161,-0.140883243603458,3,3,3
1,2,3,8,44.5985281604161,0.140883243603458,3,3,3
1,2,3,11,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,2,3,13,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,2,4,6,-44.5985281604161,-0.140883243603458,3,3,3
1,2,4,9,44.5985281604161,0.140883243603458,3,3,3
1,2,4,12,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,2,4,14,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,2,5,7,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,2,5,11,54.5890104579478,0.115099820540249,3,3,4.5
1,2,6,7,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,2,6,12,54.5890104579478,0.115099820540249,3,3,4.5
1,2,8,10,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,2,8,13,-54.5890104579478,-0.115099820540249,3,3,4.5
1,2,9,10,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,2,9,14,-54.5890104579478,-0.115099820540249,3,3,4.5
1,3,2,4,-44.5985281604161,-0.140883243603458,3,3,3
1,3,2,8,44.5985281604161,0.140883243603458,3,3,3
1,3,2,9,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,3,2,10,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,3,4,6,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,3,4,9,54.5890104579478,0.115099820540249,3,3,4.5
1,3,5,7,-44.5985281604161,-0.140883243603458,3,3,3
1,3,5,11,44.5985281604161,0.140883243603458,3,3,3
1,3,5,15,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,3,5,17,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,3,6,7,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,3,7,15,54.5890104579478,0.115099820540249,3,3,4.5
1,3,8,10,-54.5890104579478,-0.115099820540249,3,3,4.5
1,3,8,13,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,3,11,13,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,3,11,17,-54.5890104579478,-0.115099820540249,3,3,4.5
1,4,2,3,-44.5985281604161,-0.140883243603458,3,3,3
1,4,2,8,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,4,2,9,44.5985281604161,0.140883243603458,3,3,3
1,4,2,10,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,4,3,5,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,4,3,8,54.5890104579478,0.115099820540249,3,3,4.5
1,4,5,7,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,4,6,7,-44.5985281604161,-0.140883243603458,3,3,3
1,4,6,12,44.5985281604161,0.140883243603458,3,3,3
1,4,6,16,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,4,6,18,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,4,7,16,54.5890104579478,0.115099820540249,3,3,4.5
1,4,9,10,-54.5890104579478,-0.115099820540249,3,3,4.5
1,4,9,14,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,4,12,14,243.690889754096,0.0257834230632086,3,3,3.96862696659689
1,4,12,18,-54.5890104579478,-0.115099820540249,3,3,4.5
1,5,2,3,44.5985281604161,0.140883243603458,3,3,3
1,5,2,4,-243.690889754096,-0.0257834230632086,3,3,3.96862696659689
1,5,2,8,54.5890104579478,0.115099820540249,3,3,4.5
